epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,12047.4,0.80482,0.64071,1.15874,0.95668,0.93539,0.9763,0.82091,0.71852,0.41435,0.972,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,12415.5,0.79644,0.62923,1.15255,0.9571,0.9374,0.97708,0.82319,0.71092,0.40969,0.96655,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,12784.3,0.78669,0.62024,1.14465,0.9573,0.93799,0.97757,0.82564,0.70424,0.40564,0.96209,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,13153,0.77458,0.61019,1.13736,0.95742,0.93931,0.97829,0.8281,0.69744,0.40234,0.95807,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,13521.9,0.77017,0.60718,1.13419,0.95863,0.94077,0.97912,0.83019,0.69095,0.39896,0.95444,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,13890.9,0.76347,0.60087,1.13258,0.95917,0.94167,0.97951,0.83207,0.68563,0.39597,0.95201,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,14260.4,0.74944,0.58214,1.12308,0.95882,0.94281,0.97986,0.8351,0.68003,0.39237,0.94883,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,14630.1,0.74418,0.57707,1.11816,0.96124,0.94248,0.98061,0.83634,0.67515,0.38944,0.94592,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,14999.4,0.73444,0.56752,1.11259,0.9612,0.94372,0.98109,0.83785,0.67046,0.38696,0.94311,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,15368.5,0.67988,0.41404,1.07424,0.96156,0.94455,0.98155,0.83973,0.66538,0.38407,0.94018,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,15736.3,0.65784,0.39603,1.06048,0.96055,0.94608,0.98202,0.84152,0.65975,0.3811,0.93683,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,16104.4,0.64127,0.38719,1.04592,0.96108,0.94684,0.98232,0.84346,0.65439,0.37795,0.93376,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,16471.2,0.62619,0.37597,1.03818,0.96188,0.94686,0.98273,0.84531,0.64944,0.37533,0.93101,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,16838.8,0.60989,0.36582,1.02796,0.96252,0.94765,0.98307,0.84671,0.64458,0.3728,0.92812,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,17205.1,0.59981,0.36047,1.02108,0.96297,0.94813,0.98328,0.84805,0.63994,0.37023,0.92546,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,17571.1,0.58579,0.35247,1.0146,0.96378,0.94883,0.98365,0.85003,0.63558,0.36798,0.92302,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,17937.2,0.57543,0.34327,1.00594,0.96376,0.94922,0.98388,0.85115,0.63141,0.36579,0.92056,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,18302.8,0.56029,0.33515,0.99628,0.96392,0.94968,0.98414,0.85247,0.62735,0.36373,0.91821,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,18669.3,0.55002,0.33023,0.99429,0.96434,0.9504,0.98443,0.85322,0.62368,0.36193,0.91605,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
